院所,時段,星期,診次,醫師,隔週,星號註記,附註
晶悅,09:00~11:30,週一,早診,蔡季軒,,,
晶悅,09:00~11:30,週一,早診,鄭漢賢,,,
晶悅,09:00~11:30,週一,早診,朱柏非,,,
晶悅,14:00~16:30,週一,午診,林智俊,,,
晶悅,14:00~16:30,週一,午診,劉玠旻,隔週,,
晶悅,14:00~16:30,週一,午診,王泳泉,隔週,,
晶悅,14:00~16:30,週一,午診,蔡季軒,,,
晶悅,14:00~16:30,週一,午診,朱柏非,,,
晶悅,14:00~16:30,週一,午診,鄭漢賢,,,
晶悅,18:00~20:30,週一,晚診,林智俊,,,
晶悅,18:00~20:30,週一,晚診,王泳泉,隔週,,
晶悅,18:00~20:30,週一,晚診,蔡季軒,,,
晶悅,18:00~20:30,週一,晚診,鄭漢賢,,,
晶悅,18:00~20:30,週一,晚診,朱柏非,,,
晶悅,09:00~11:30,週二,早診,劉玠旻,,,
晶悅,09:00~11:30,週二,早診,陳志僑,,,
晶悅,09:00~11:30,週二,早診,林紫亭,,,
晶悅,14:00~16:30,週二,午診,劉玠旻,,,
晶悅,14:00~16:30,週二,午診,陳志僑,,,
晶悅,14:00~16:30,週二,午診,林紫亭,,,
晶悅,14:00~16:30,週二,午診,蔡季軒,,,
晶悅,14:00~16:30,週二,午診,温翊君,,,
晶悅,14:00~16:30,週二,午診,徐平,,,
晶悅,14:00~16:30,週二,午診,鄭博文,,,
晶悅,18:00~20:30,週二,晚診,林紫亭,,,
晶悅,18:00~20:30,週二,晚診,蔡季軒,,,
晶悅,18:00~20:30,週二,晚診,温翊君,,,
晶悅,18:00~20:30,週二,晚診,徐平,,,
晶悅,18:00~20:30,週二,晚診,鄭博文,,,
晶悅,09:00~11:30,週三,早診,林智俊,,,
晶悅,09:00~11:30,週三,早診,陳昺元,,,
晶悅,09:00~11:30,週三,早診,蔡季軒,,,
晶悅,09:00~11:30,週三,早診,鄭博文,,,
晶悅,14:00~16:30,週三,午診,林智俊,,,
晶悅,14:00~16:30,週三,午診,王泳泉,,,
晶悅,14:00~16:30,週三,午診,陳昺元,,,
